Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
,,,,,,
C0402,Ceramic Chip Capacitor - Standard,"C1, C3, C5, C11",402,C0402,4,
4.7uF,"CAP TANT 4.7UF 10% 16V 1411, T491B475K016AT","C2, C9",FP-T491B475K016AT-MFG,CMP-03017-000048-1,2,
100n,Capacitor SMD 0402 16V,"C4, C6, C10",CAP_0402_16V,CAP_0402_16V,3,
USBLC6-2SC6,"Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel",D1,STM-SOT23-6L_V,CMP-2000-05378-1,1,
SS1P3L-M3_84A,Schottky Diode,D2,SS1P3LM384A,SS1P3L-M3_84A,1,
Header_Male 2x03 2.54mm,Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Thru-Hole,JP1,Header_Male 2x03 2.54mm,Header_Male 2x03 2.54mm,1,
TSW-115-07-G-S,CONN HEADER VERT 15POS 2.54MM,"JP2, JP3",FP-TSW-115-07-G-S-MFG,CMP-02766-000090-1,2,
LED_0402_GREEN,LED SMD 0402 Green,LED1,LED_0402,LED_0402_GREEN,1,
LED_0402_ORANGE,LED SMD 0402 Orange,"LED2, LED3, LED4",LED_0402,LED_0402_ORANGE,3,
1k,Resistor SMD 0402,"R1, R2, R3, R4, R5, R6, R9, R10",RES_0402,RES_0402_2,8,
5k1,Resistor SMD 0402,"R7, R8",RES_0402,RES_0402_3,2,
"SMD,3x4x2.5mm Tactile Switches ROHS",,SW1,"SMD,3x4x2.5mm Tactile Switches ROHS","SMD,3x4x2.5mm Tactile Switches ROHS",1,
ATMEGA328P-MUR,IC MCU 8BIT 32KB FLASH 32VQFN,U1,FP-32M1-A-IPC_C,CMP-06276-000062-1,1,
FT232RL,IC USB FS SERIAL UART 28-SSOP,U2,FTDI-SSOP-28_M,CMP-2000-05029-1,1,
TYPE-C-31-M-12,TYPE-C-31-M-12,U3,TYPE-C-31-M-12,USB_Type_C,1,
LM1117MPX-5V,"800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free",U4,DCY0004A_L,CMP-0062-01635-4,1,
CSTCE16M0V53-R0,"Ceramic Resonator, 16 MHz with Built-in Capacitance, Thickness Expander Mode, Initial Frequency Tolerance +/- 0.5%, Load Capacity 15 pF, -20 to 80 degC, 3.2 x 1.3 x 1 mm SMD, RoHS, Reel",U5,MURA-CSTCE_V-3_V,CMP-0588-00001-2,1,
